paises,quantidade,valor,ano,derivado_uva
Reino Unido,0,0,1974,Vinhos de Mesa
Republica Dominicana,0,0,1974,Vinhos de Mesa
Romênia,0,0,1974,Vinhos de Mesa
Rússia,0,0,1974,Vinhos de Mesa
San Marino,0,0,1974,Vinhos de Mesa
Sérvia,0,0,1974,Vinhos de Mesa
Síria,0,0,1974,Vinhos de Mesa
Suazilândia,0,0,1974,Vinhos de Mesa
Suíça,0,0,1974,Vinhos de Mesa
"Tcheca, República",0,0,1974,Vinhos de Mesa
Tunísia,0,0,1974,Vinhos de Mesa
Turquia,0,0,1974,Vinhos de Mesa
Ucrânia,0,0,1974,Vinhos de Mesa
Uruguai,0,0,1974,Vinhos de Mesa
Não consta na tabela,0,0,1974,Vinhos de Mesa
Não declarados,0,0,1974,Vinhos de Mesa
Outros,21501,28163,1974,Vinhos de Mesa
Total,4245328,3713403,1974,Vinhos de Mesa
Africa do Sul,0,0,1976,Vinhos de Mesa
Alemanha,168134,171308,1976,Vinhos de Mesa
Argélia,0,0,1976,Vinhos de Mesa
Arábia Saudita,0,0,1976,Vinhos de Mesa
Argentina,348653,277507,1976,Vinhos de Mesa
Armênia,0,0,1976,Vinhos de Mesa
Austrália,0,0,1976,Vinhos de Mesa
Áustria,0,0,1976,Vinhos de Mesa
