paises,quantidade,valor,ano,derivado_uva
São Tomé e Príncipe,0,0,2023,Vinhos de Mesa
São Vicente e Granadinas,39,139,2023,Vinhos de Mesa
Senegal,0,0,2023,Vinhos de Mesa
Serra Leoa,23200,38548,2023,Vinhos de Mesa
Singapura,3941,19781,2023,Vinhos de Mesa
Suazilândia,0,0,2023,Vinhos de Mesa
Suécia,0,0,2023,Vinhos de Mesa
Suíça,2500,28763,2023,Vinhos de Mesa
Suriname,3105,5235,2023,Vinhos de Mesa
Tailândia,189,1387,2023,Vinhos de Mesa
Taiwan (Formosa),4208,19998,2023,Vinhos de Mesa
Tanzânia,0,0,2023,Vinhos de Mesa
"Tcheca, República",405,3348,2023,Vinhos de Mesa
Togo,14550,25235,2023,Vinhos de Mesa
Toquelau,3,10,2023,Vinhos de Mesa
Trinidade Tobago,0,0,2023,Vinhos de Mesa
Tunísia,0,0,2023,Vinhos de Mesa
Turquia,28104,95421,2023,Vinhos de Mesa
Tuvalu,0,0,2023,Vinhos de Mesa
Uruguai,326093,454271,2023,Vinhos de Mesa
Vanuatu,0,0,2023,Vinhos de Mesa
Venezuela,141030,220512,2023,Vinhos de Mesa
Vietnã,72,128,2023,Vinhos de Mesa
Total,5538888,8923076,2023,Vinhos de Mesa
Africa do Sul,0,0,2022,Uvas Frescas
"Alemanha, República Democrática",559012,1213303,2022,Uvas Frescas
Angola,0,0,2022,Uvas Frescas
Antígua e Barbuda,253,999,2022,Uvas Frescas
Arabia Saudita,12224,53675,2022,Uvas Frescas
Argélia,0,0,2022,Uvas Frescas
Argentina,3954281,8103640,2022,Uvas Frescas
Áustria,0,0,2022,Uvas Frescas
Bahamas,3035,10694,2022,Uvas Frescas
Bahrein,0,0,2022,Uvas Frescas
Bangladesh,113,319,2022,Uvas Frescas
Barbados,163,540,2022,Uvas Frescas
Barein,316,1159,2022,Uvas Frescas
Bélgica,39134,95538,2022,Uvas Frescas
Belize,117,248,2022,Uvas Frescas
Bermudas,200,761,2022,Uvas Frescas
Bolívia,132736,67397,2022,Uvas Frescas
Bósnia,0,0,2022,Uvas Frescas
Brasil,109,267,2022,Uvas Frescas
Bulgária,0,0,2022,Uvas Frescas
Burquina Faso,0,0,2022,Uvas Frescas
Cabo Verde,0,0,2022,Uvas Frescas
Camarões,50,149,2022,Uvas Frescas
Camores,0,0,2022,Uvas Frescas
Canadá,383543,1497880,2022,Uvas Frescas
Catar,28,75,2022,Uvas Frescas
"Cayman, Ilhas",277,1145,2022,Uvas Frescas
Chile,31,125,2022,Uvas Frescas
China,945,2708,2022,Uvas Frescas
Chipre,1867,4345,2022,Uvas Frescas
Cingapura,0,0,2022,Uvas Frescas
"Cocos (Keeling), Ilhas",32,55,2022,Uvas Frescas
"Cook, Ilhas",0,0,2022,Uvas Frescas
Colômbia,13,32,2022,Uvas Frescas
Congo,0,0,2022,Uvas Frescas
Coreia do Norte,0,0,2022,Uvas Frescas
Coreia do Sul,142,381,2022,Uvas Frescas
Costa do Marfim,0,0,2022,Uvas Frescas
Coveite,7252,33694,2022,Uvas Frescas
Croácia,20,28,2022,Uvas Frescas
Curaçao,0,0,2022,Uvas Frescas
Dinamarca,26792,50928,2022,Uvas Frescas
Djibuti,0,0,2022,Uvas Frescas
Egito,0,0,2022,Uvas Frescas
Emirados Árabes Unidos,116384,401362,2022,Uvas Frescas
Eslovênia,0,0,2022,Uvas Frescas
Espanha,3504580,6022297,2022,Uvas Frescas
Estados Unidos,9634362,26805893,2022,Uvas Frescas
Falkland (Ilhas Malvinas),60,61,2022,Uvas Frescas
"Faroé, Ilhas",0,0,2022,Uvas Frescas
Filipinas,137,455,2022,Uvas Frescas
Finlândia,0,0,2022,Uvas Frescas
França,200,892,2022,Uvas Frescas
Gabão,20,53,2022,Uvas Frescas
Gana,0,0,2022,Uvas Frescas
Georgia,0,0,2022,Uvas Frescas
Gibraltar,125,480,2022,Uvas Frescas
Grécia,2536,6949,2022,Uvas Frescas
Guadalupe,0,0,2022,Uvas Frescas
Guiana,3902,12934,2022,Uvas Frescas
Guiana Francesa,0,0,2022,Uvas Frescas
Guine Equatorial,0,0,2022,Uvas Frescas
Honduras,0,0,2022,Uvas Frescas
Hong Kong,11130,81767,2022,Uvas Frescas
Ilha de Man,124,459,2022,Uvas Frescas
Ilhas Virgens,0,0,2022,Uvas Frescas
Índia,548,1576,2022,Uvas Frescas
Indonésia,40,103,2022,Uvas Frescas
Irã,70,182,2022,Uvas Frescas
Irlanda,1412302,3175487,2022,Uvas Frescas
Islândia,0,0,2022,Uvas Frescas
Itália,269,984,2022,Uvas Frescas
Japão,377,1270,2022,Uvas Frescas
Jérsei,0,0,2022,Uvas Frescas
Jordânia,40,116,2022,Uvas Frescas
Letônia,20,84,2022,Uvas Frescas
Líbano,0,0,2022,Uvas Frescas
Libéria,10296,36932,2022,Uvas Frescas
Líbia,0,0,2022,Uvas Frescas
Lituânia,30168,65259,2022,Uvas Frescas
Luxemburgo,53,242,2022,Uvas Frescas
Macedônia,0,0,2022,Uvas Frescas
Malásia,70,276,2022,Uvas Frescas
Malta,3766,13755,2022,Uvas Frescas
Marrocos,20,66,2022,Uvas Frescas
"Marshall, Ilhas",14389,50525,2022,Uvas Frescas
Martinica,0,0,2022,Uvas Frescas
Mauricio,0,0,2022,Uvas Frescas
Mauritânia,0,0,2022,Uvas Frescas
Mexico,0,0,2022,Uvas Frescas
Mônaco,0,0,2022,Uvas Frescas
Mongólia,0,0,2022,Uvas Frescas
Montenegro,0,0,2022,Uvas Frescas
Nigéria,0,0,2022,Uvas Frescas
Noruega,381020,594883,2022,Uvas Frescas
Omã,100,311,2022,Uvas Frescas
Países Baixos,18874963,36345317,2022,Uvas Frescas
Palau,0,0,2022,Uvas Frescas
Panamá,10006,34309,2022,Uvas Frescas
Paquistão,50,206,2022,Uvas Frescas
Paraguai,0,0,2022,Uvas Frescas
Pitcairn,0,0,2022,Uvas Frescas
Polônia,20,50,2022,Uvas Frescas
Porto Rico,0,0,2022,Uvas Frescas
Portugal,1943,7713,2022,Uvas Frescas
Quirguistão,0,0,2022,Uvas Frescas
Reino Unido,0,0,2022,Uvas Frescas
Republica Dominicana,0,0,2022,Uvas Frescas
Romênia,13194790,28569636,2022,Uvas Frescas
"Rússia, Federação da",14440,32576,2022,Uvas Frescas
Samoa Americana,8,18,2022,Uvas Frescas
São Cristóvão e Névis,0,0,2022,Uvas Frescas
São Tomé e Príncipe,0,0,2022,Uvas Frescas
São Vicente e Granadinas,53,163,2022,Uvas Frescas
Serra Leoa,1,4,2022,Uvas Frescas
Senegal,0,0,2022,Uvas Frescas
Singapura,16664,140893,2022,Uvas Frescas
Sri Lanka,0,0,2022,Uvas Frescas
Suécia,13,45,2022,Uvas Frescas
Suíça,2604,32752,2022,Uvas Frescas
Suriname,0,0,2022,Uvas Frescas
